장위배달점	201437	서울시 성북구 월계로40길 7, 지상 1층 115호(장위동, 센트럴타운)
전남보성	201607	전라남도 보성군 보성읍 중앙로 52
전북고창	201250	전라북도 고창군 고창읍 중앙로 231 (고창읍 읍내리 199-6)
전주아중	200357	전라북도 전주시 덕진구 아중로 167 (인후동1가 920-2))
종로5가	201747	서울특별시 종로구 종로31길 22
종암배달점	201679	서울특별시 성북구 종암로 132 종암우림카이저팰리스
중곡	200701	서울특별시 광진구 용마산로 37 이안빌딩 (중곡제2동) 1층
진도	201640	전라남도 진도군 진도읍 쌍정2길 30 2층
진주평거	201722	경남 진주시 남강로309번길 44 (평거동 910번지)
진해석동	200299	경남 창원시 진해구 충장로445번길 20-1
진해용원배달점	201719	경상남도 창원시 진해구 신항4로 41-16 (용원동 1343-6)
창동역	201070	서울특별시 도봉구 마들로11가길 13 월드프라자(201호,202호,203호)
창원상남	201294	경남 창원시 성산구 마디미로38번길 11 네스트상가209~211호 (상남동 25)
창원양덕배달점	201442	경남 창원시 마산회원구 양덕로 190 (석전동 (석전동)  224-8 )
천안두정배달점	201475	충청남도 천안시 서북구 오성로 40 (충청남도  천안시 서북구 두정동 (부성2동)  798 )
천안불당배달점	201733	충남 천안시 서북구 검은들3길 34 두성베르겐빌딩 108호 (불당동 718 )
천안신부배달점	201619	충청남도 천안시 동남구 터미널9길 40 (충청남도  천안시 동남구 신부동 (신안동)  591 )
청주가경	200353	충청북도 청주시 흥덕구 풍년로 121 (가경동)
청주운천	200419	충청북도 청주시 흥덕구 사운로 204 1층
청평	201468	경기도 가평군 청평리 여울길 34 (청평면)
춘천후평배달점	201481	강원도 춘천시 백령로 188, 1층 우측호(후평동)
충남당진배달점	201268	충청남도 당진시 북문길 11 (충청남도  당진시 읍내동 (당진1동)  497-1 )
충남부여	200529	충청남도 부여군 구아리 나루터로 7-1 (부여읍)
충남서천장항	200887	충청남도 서천군 장항읍 장항로 176-1 (창선1리 222-1)
충북증평배달점	201546	충청북도 증평군 증평읍 중앙로 139, 1층
충주호암	201768	충청북도 충주시 호암수청5길 5
탄현	200113	경기도 고양시 일산동구 고봉로278번길 11 (중산동)
통영	200677	경남 통영시 중앙로 303 (북신동 695-1) 2층
파주교하배달점	201606	경기도 파주시 책향기로 243, 101호(동패동)
파주금촌배달점	201358	경기도 파주시 쇠재로 126, 101호 (경기도  파주시 금릉동 (금촌2동)  433-2 )
파주문산배달점	201361	경기도 파주시 문산읍 사임당로 7, 116동 108호
파주운정	201769	경기도 파주시 청암로17번길 51 (경기도  파주시 목동동 (운정2동)  939-1 )
평택안중	201283	경기도 평택시 안중로18번길 29
평택용이배달점	201273	경기도 평택시 현촌5길 5 (경기도  평택시 용이동 (비전2동)  600-1 )
평택이충	200457	경기도 평택시 이충로 49-33 예림프라자 (이충동) 예림프라자 201
평택청북	201756	경기도 평택시 청북읍 안청로2길 45
평택포승배달점	201617	경기도 평택시 평택항로268번길 69 (경기도  평택시 포승읍 (포승읍)  1126-3 )
포항대이	201765	경상북도 포항시 남구 대이로159번길 11-11
포항두호배달점	201767	경상북도 포항시 북구 새천년대로1076번길 22 (경상북도  포항시 북구 두호동 (두호동)  1104 )
홍대역	200491	서울특별시 마포구 양화로 186(동교동) LC TOWER 본관 104호
홍천	201166	강원도 홍천군 신장대로 58 (강원도  홍천군 홍천읍 (홍천읍)  326-9 )
홍천대명비발디파크	200809	강원도 홍천군 서면 한치골길 262 비발디파크 지하위락상가내
화곡역	200468	서울특별시 강서구 화곡로 111 (서울특별시  강서구 화곡동 (화곡제3동)  1068-32 )
화성새솔배달점	201454	경기도 화성시 수노을1로 191, 상가4동 103호
화성향남	200598	경기도 화성시 향남읍 삼천병마로 173-5 206호 에이스존 201
회기배달점	201298	서울특별시 동대문구 회기로18길 16
고양향동배달점	201776	경기도 고양시 덕양구 꽃마을로 42 향동 센트럴타워
